t,ch,freq,gOSNR,OSNR
t1,9.0,191.75,23.309334,24.778462
t2,18.0,192.2,23.302073,24.768281
t3,27.0,192.65,23.294824,24.758125
t4,36.0,193.1,23.287587,24.747992
t5,45.0,193.55,23.280362,24.737883
t6,54.0,194.0,23.273149,24.727797
t7,63.0,194.45,23.265949,24.717734
t8,72.0,194.9,23.25876,24.707695
t9,81.0,195.35,23.251583,24.697679
t1,8.0,191.7,23.310141,24.779594
t2,16.0,192.1,23.303685,24.770542
t3,24.0,192.5,23.297239,24.761508
t4,32.0,192.9,23.290802,24.752492
t5,40.0,193.3,23.284374,24.743496
t6,48.0,193.7,23.277957,24.734518
t7,56.0,194.1,23.271548,24.725559
t8,64.0,194.5,23.265149,24.716618
t9,72.0,194.9,23.25876,24.707695
t11,88.0,195.7,23.246009,24.689905
t1,7.0,191.65,23.310949,24.780727
t2,14.0,192.0,23.305298,24.772803
t3,21.0,192.35,23.299655,24.764893
t4,28.0,192.7,23.294019,24.756998
t5,35.0,193.05,23.28839,24.749117
t6,42.0,193.4,23.282769,24.74125
t7,49.0,193.75,23.277155,24.733397
t8,56.0,194.1,23.271548,24.725559
t9,63.0,194.45,23.265949,24.717734
t11,77.0,195.15,23.254771,24.702128
t12,84.0,195.5,23.249193,24.694345
t1,6.0,191.6,23.311757,24.78186
t2,12.0,191.9,23.306912,24.775066
t3,18.0,192.2,23.302073,24.768281
t4,24.0,192.5,23.297239,24.761508
t5,30.0,192.8,23.29241,24.754744
t6,36.0,193.1,23.287587,24.747992
t7,42.0,193.4,23.282769,24.74125
t8,48.0,193.7,23.277957,24.734518
t9,54.0,194.0,23.273149,24.727797
t11,66.0,194.6,23.263551,24.714385
t12,72.0,194.9,23.25876,24.707695
t13,78.0,195.2,23.253974,24.701015
t1,6.0,191.6,23.311757,24.78186
t2,12.0,191.9,23.306912,24.775066
t3,18.0,192.2,23.302073,24.768281
t4,24.0,192.5,23.297239,24.761508
t5,30.0,192.8,23.29241,24.754744
t6,36.0,193.1,23.287587,24.747992
t7,42.0,193.4,23.282769,24.74125
t8,48.0,193.7,23.277957,24.734518
t9,54.0,194.0,23.273149,24.727797
t11,66.0,194.6,23.263551,24.714385
t12,72.0,194.9,23.25876,24.707695
t13,78.0,195.2,23.253974,24.701015
t14,84.0,195.5,23.249193,24.694345
t1,6.0,191.6,23.311757,24.78186
t2,12.0,191.9,23.306912,24.775066
t3,18.0,192.2,23.302073,24.768281
t4,24.0,192.5,23.297239,24.761508
t5,30.0,192.8,23.29241,24.754744
t6,36.0,193.1,23.287587,24.747992
t7,42.0,193.4,23.282769,24.74125
t8,48.0,193.7,23.277957,24.734518
t9,54.0,194.0,23.273149,24.727797
t11,66.0,194.6,23.263551,24.714385
t12,72.0,194.9,23.25876,24.707695
t13,78.0,195.2,23.253974,24.701015
t14,84.0,195.5,23.249193,24.694345
t15,90.0,195.8,23.244417,24.687686
